property_type,society,sector,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,price,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
flat,sunischit apartments,sector 54,9848.0,3,3,3+,5.0,Old Property,1.69,1991.0,0,1,0,0,0,1,65,"28.4348° N, 77.1089° E",28.4348,77.1089
flat,signature global orchard avenue,sector 93,7974.0,2,2,0,10.0,Relatively New,0.85,597.0,0,0,0,0,0,0,0,"28.4153° N, 76.9326° E",28.4153,76.9326
flat,vatika seven elements,sector 89,12500.0,3,3,3,5.0,New Property,1.6,1774.0,0,0,0,0,0,0,58,"28.4253° N, 76.9439° E",28.4253,76.9439
house,unitech uniworld resorts,sector 33,17820.0,5,5,3+,3.0,New Property,8.5,4770.0,1,1,1,1,0,1,145,"28.4420° N, 77.0207° E",28.442,77.0207
flat,tulip violet,sector 69,6354.0,3,3,1,12.0,Relatively New,1.37,1568.0,0,0,0,1,0,0,95,"28.3966° N, 77.0341° E",28.3966,77.0341
flat,tarc maceo,sector 91,12482.0,2,2,2,9.0,Relatively New,0.87,1148.0,0,0,1,0,0,0,78,"28.4014° N, 76.9225° E",28.4014,76.9225
flat,siddhi vinayak apartments,sector 55,8607.0,3,3,2,6.0,Moderately Old,1.44,1700.0,0,0,0,0,1,1,47,"28.4281° N, 77.1100° E",28.4281,77.11
flat,emaar palm gardens,sector 83,6659.0,3,3,3+,11.0,Relatively New,1.75,1549.0,0,1,0,0,0,0,120,"28.3986° N, 76.9647° E",28.3986,76.9647
flat,signature global city,sector 37d,5626.0,2,2,2,2.0,Relatively New,0.8,860.0,0,0,0,0,0,0,42,"28.4478° N, 76.9703° E",28.4478,76.9703
house,bhim garh kheri,sector 3,6410.0,4,2,2,2.0,Old Property,0.75,1170.0,0,0,0,0,0,0,16,"28.4909° N, 77.0176° E",28.4909,77.0176
flat,bptp terra,sector 37d,7404.0,3,3,3,9.0,Relatively New,1.72,1373.0,1,0,0,0,0,1,24,"28.4478° N, 76.9703° E",28.4478,76.9703
house,unitech nirvana birch court,sector 50,31481.0,4,4,3+,2.0,Old Property,6.8,2160.0,1,1,0,1,0,0,105,"28.4178° N, 77.0628° E",28.4178,77.0628
flat,shri ram apartments,sector 4,6618.0,2,2,1,4.0,Relatively New,0.36,1056.0,0,0,0,0,0,0,0,"28.4738° N, 77.0107° E",28.4738,77.0107
flat,ss the leaf,sector 85,8356.0,2,2,3+,17.0,Relatively New,1.25,1426.0,0,0,1,0,0,0,156,"28.4042° N, 76.9513° E",28.4042,76.9513
flat,central park flower valley,sector 33,14418.0,3,3,2,1.0,New Property,2.5,2093.0,0,0,0,0,0,0,66,"28.4420° N, 77.0207° E",28.442,77.0207
flat,ansal api celebrity suites,sector 2,7802.0,1,1,1,5.0,Moderately Old,0.6,665.0,0,0,0,0,0,1,88,"28.5095° N, 77.0320° E",28.5095,77.032
flat,m3m woodshire,sector 107,8651.0,2,2,3+,14.0,Relatively New,0.75,1201.0,0,0,0,1,0,0,174,"28.5052° N, 76.9729° E",28.5052,76.9729
flat,rof ananda,sector 95,6084.0,3,2,2,14.0,New Property,0.55,811.0,1,0,0,0,0,1,81,"28.4172° N, 76.9081° E",28.4172,76.9081
flat,smart world orchard,sector 61,5556.0,3,3,2,3.0,New Property,2.2,1811.0,0,0,0,0,0,0,16,"28.4050° N, 77.0963° E",28.405,77.0963
house,eros rosewood villas,sector 49,15556.0,3,3,3,2.0,Moderately Old,2.8,1800.0,0,0,0,1,0,0,68,"28.4121° N, 77.0480° E",28.4121,77.048
flat,signature global city 81,sector 81,14240.0,2,2,2,3.0,Relatively New,0.89,1194.0,0,0,0,0,1,0,20,"28.3867° N, 76.9485° E",28.3867,76.9485
flat,spaze privy,sector 72,4854.0,3,3,3,10.0,Moderately Old,1.9,1787.0,0,1,0,0,0,1,31,"28.4225° N, 77.0211° E",28.4225,77.0211
flat,pareena laxmi apartments,sector 99a,9412.0,2,2,1,2.0,New Property,0.32,577.0,0,0,0,0,0,0,43,"28.4561° N, 76.9542° E",28.4561,76.9542
flat,emaar digihomes,sector 62,11765.0,2,2,3,12.0,New Property,2.1,1500.0,0,0,0,0,1,1,49,"28.4139° N, 77.0886° E",28.4139,77.0886
flat,rof ananda,sector 95,7901.0,2,2,1,9.0,Relatively New,0.32,610.0,0,0,0,1,0,1,71,"28.4172° N, 76.9081° E",28.4172,76.9081
flat,sare homes,sector 92,4443.0,4,3,3,13.0,New Property,0.95,1765.0,0,0,0,0,0,0,0,"28.4079° N, 76.9153° E",28.4079,76.9153
flat,orchid petals,sector 49,16365.0,5,4,3+,14.0,Relatively New,4.16,3219.0,1,1,0,0,0,0,40,"28.4121° N, 77.0480° E",28.4121,77.048
house,dlf city plots phase 2,sector 25,34307.0,5,6,3+,3.0,Moderately Old,15.5,4518.0,1,1,1,1,0,0,144,"28.4844° N, 77.0860° E",28.4844,77.086
flat,godrej meridien,sector 106,16000.0,3,3,3+,6.0,Relatively New,3.2,2224.0,0,1,0,0,0,0,49,"28.5007° N, 77.0003° E",28.5007,77.0003
flat,shree vardhman flora,sector 90,6555.0,3,4,3,4.0,Relatively New,0.9,1765.0,0,1,0,0,0,0,165,"28.4085° N, 76.9369° E",28.4085,76.9369
flat,ansals duplex flat,sector 2,3692.0,2,3,2,1.0,Old Property,0.95,1444.0,1,0,0,0,0,1,20,"28.5095° N, 77.0320° E",28.5095,77.032
flat,paras dews,sector 106,6801.0,3,3,3,11.0,Relatively New,1.15,1650.0,0,1,0,1,0,1,174,"28.5007° N, 77.0003° E",28.5007,77.0003
flat,emaar palm gardens,sector 83,8728.0,3,3,3,6.0,Relatively New,1.75,1600.0,0,1,0,0,0,1,150,"28.3986° N, 76.9647° E",28.3986,76.9647
flat,indiabulls centrum park,sector 103,7631.0,2,2,3,10.0,Relatively New,1.15,1080.0,1,0,0,0,0,1,174,"28.4949° N, 76.9845° E",28.4949,76.9845
flat,m3m skywalk,sector 74,7499.0,2,2,2,17.0,New Property,1.4,1289.0,0,0,0,0,0,1,167,"28.4158° N, 77.0118° E",28.4158,77.0118
flat,spire woods now ananda by alpha corp,sector 103,15263.0,3,4,3,11.0,Under Construction,1.25,2012.0,1,1,0,0,0,0,105,"28.4949° N, 76.9845° E",28.4949,76.9845
flat,godrej air,sector 85,10005.0,3,3,3+,18.0,Relatively New,1.83,2032.0,0,0,0,0,0,0,110,"28.4042° N, 76.9513° E",28.4042,76.9513
flat,the close north,sector 50,8411.0,3,3,3+,8.0,Moderately Old,2.35,1950.0,0,0,0,0,0,1,165,"28.4178° N, 77.0628° E",28.4178,77.0628
flat,central park flower valley,sector 33,7654.0,3,3,3+,1.0,New Property,2.15,1439.0,0,0,0,0,0,0,31,"28.4420° N, 77.0207° E",28.442,77.0207
flat,dlf regency park,sector 28,14259.0,3,3,2,16.0,Old Property,2.25,1700.0,0,1,0,0,0,0,89,"28.4728° N, 77.0865° E",28.4728,77.0865
flat,ansal api celebrity suites,sector 2,6803.0,1,1,1,5.0,Moderately Old,0.6,665.0,0,0,0,0,0,1,67,"28.5095° N, 77.0320° E",28.5095,77.032
flat,chd avenue,sector 71,11446.0,2,2,2,5.0,Moderately Old,0.95,1084.0,0,0,0,0,0,1,142,"28.4104° N, 77.0281° E",28.4104,77.0281
flat,emaar palm gardens,sector 83,10039.0,3,3,3,16.0,Relatively New,1.3,1387.0,0,1,0,0,0,1,174,"28.3986° N, 76.9647° E",28.3986,76.9647
flat,dlf the ultima,sector 81,8840.0,3,3,2,10.0,Relatively New,2.4,1800.0,0,1,0,0,0,2,174,"28.3867° N, 76.9485° E",28.3867,76.9485
flat,shree vardhman victoria,sector 70,13937.0,3,5,3,6.0,Relatively New,1.6,2167.0,0,1,0,0,0,0,174,"28.3968° N, 77.0233° E",28.3968,77.0233
flat,tulip violet,sector 69,6735.0,4,6,3+,14.0,Relatively New,3.1,2817.0,0,1,0,1,0,0,174,"28.3966° N, 77.0341° E",28.3966,77.0341
flat,ss,sector 85,11334.0,4,4,3,8.0,Relatively New,2.09,2600.0,1,1,0,1,0,0,49,"28.4042° N, 76.9513° E",28.4042,76.9513
flat,m3m golf hills,sector 79,7758.0,2,2,3,15.0,Relatively New,1.45,1578.0,0,0,0,0,0,0,67,"28.3624° N, 76.9787° E",28.3624,76.9787
flat,smart world orchard,sector 61,4800.0,2,2,1,3.0,Under Construction,1.55,1041.0,1,0,0,0,0,0,43,"28.4050° N, 77.0963° E",28.405,77.0963
flat,dlf the arbour,sector 63,9449.0,4,4,0,6.0,New Property,7.8,3950.0,0,0,0,0,0,0,61,"28.3971° N, 77.0867° E",28.3971,77.0867
flat,tata primanti,sector 72,10384.0,4,5,3+,22.0,Relatively New,4.0,2701.0,0,1,0,0,0,1,174,"28.4225° N, 77.0211° E",28.4225,77.0211
